SCHOOL_NUMBER,ELIGIBLE_TO_GRAD_COUNT,GRAD_COUNT,GRADUATION_RATE,HONOURS_GRAD_COUNT,HONOURS_GRADUATION_RATE,Unnamed: 0,MINCODE,DISTRICT_NUMBER_x,NUM_OF_SCHOOLS_IN_DATA_LEVEL,TOTAL_CLASSES,CLASSES_WITH_ED_ASSIST,TOTAL_CLASSES_GREATER_30,AVG_CLASS_SIZE_K,AVG_CLASS_SIZE_1_3,AVG_CLASS_SIZE_4_7,AVG_CLASS_SIZE_8_12,DISTRICT_NUMBER_y,GRADE_8,GRADE_9,GRADE_10,GRADE_11,GRADE_12
3434062,30.0,28.4,94.6,9.2,31.0,214,3434062,34.0,1,22.0,8.925583619205007,8.067850753897268,18.04641057474624,20.101066897347074,26.646153846153847,24.81538461538461,34.0,1715.0,999.0,658.0,407.0,238.0
3434064,28.54545454545455,27.96969696969697,98.0909090909091,14.12121212121212,46.84848484848485,215,3434064,34.0,1,44.0,12.629073381208133,8.149709302325583,18.046410574746247,20.101066897347078,24.568234505862414,19.975,34.0,0.0,1784.0,1597.0,1400.0,1227.0
3535007,11.5,11.0,96.0,0.21428571428571427,2.142857142857143,219,3535007,35.0,1,25.0,25.0,9.17109634551495,18.046410574746247,20.101066897347078,9.0,15.6,35.0,2.0,4.0,96.0,77.0,89.0
3535019,109.1125,101.8,92.6125,40.0,33.425,225,3535019,35.0,1,152.69230769230768,32.54096823458962,7.872476360848454,18.04641057474624,20.101066897347074,24.568234505862414,22.807692307692317,35.0,1153.0,10085.0,9604.0,10474.0,9511.0
3535020,100.82894736842104,91.90789473684212,90.93421052631581,36.30263157894737,33.0,226,3535020,35.0,1,141.84615384615384,52.07692307692307,8.771275236391519,18.04641057474624,20.101066897347074,24.568234505862414,21.423076923076927,35.0,3300.0,8516.0,7976.0,8510.0,7558.0
3535029,79.3225806451613,77.54838709677419,97.43548387096773,51.838709677419345,64.19354838709678,231,3535029,35.0,1,174.38461538461542,30.69230769230769,11.026322514694607,18.23157817863144,21.16923076923077,29.784615384615392,22.99230769230769,35.0,6239.0,8611.0,9465.0,8515.0,7415.0
3535031,76.2,64.3,84.0,19.2,25.8,232,3535031,35.0,1,158.0,21.516293524832534,15.0,18.046410574746247,20.101066897347078,24.568234505862414,21.45,35.0,1386.0,1430.0,1354.0,1329.0,994.0
3535034,99.11688311688313,92.79220779220779,93.15584415584415,41.18181818181818,38.298701298701296,235,3535034,35.0,1,196.15384615384616,58.846153846153854,13.347176079734215,18.04641057474624,20.101066897347074,24.568234505862414,21.26923076923077,35.0,13009.0,8980.0,8814.0,9212.0,7473.0
3535036,120.1,115.1375,95.1375,47.425,34.325,237,3535036,35.0,1,386.1538461538461,73.07942977305116,11.55162279580884,18.04641057474624,20.101066897347074,22.99375492848839,22.77692307692308,35.0,21663.0,21289.0,22135.0,20732.0,16482.0
3535041,123.91780821917808,121.12328767123287,97.45205479452056,64.17808219178083,46.342465753424655,242,3535041,35.0,1,286.38461538461536,48.846153846153854,14.397776641962688,18.04641057474624,20.101066897347074,23.062985697719153,24.48461538461539,35.0,10865.0,19462.0,18554.0,17668.0,14042.0
3535050,194.2142857142857,188.17857142857144,96.15476190476191,99.98809523809523,44.89285714285715,251,3535050,35.0,1,615.5384615384615,84.0,22.116406848964992,18.04641057474624,20.101066897347074,24.568234505862414,24.384615384615394,35.0,46030.0,35453.0,36548.0,32258.0,25784.0
3535056,73.18181818181819,71.6,97.87272727272727,45.32727272727273,60.83636363636364,257,3535056,35.0,1,133.69230769230768,49.30769230769231,8.347176079734218,18.04641057474624,20.101066897347074,29.382171885066338,23.26923076923077,35.0,9744.0,9547.0,6947.0,5162.0,3835.0
3599092,14.555555555555555,11.833333333333336,81.77777777777777,1.4444444444444444,10.222222222222221,264,3599092,35.0,1,35.0,28.0,2.0,18.046410574746247,20.101066897347078,24.568234505862414,18.8,35.0,57.0,87.0,141.0,137.0,201.0
3599173,13.61904761904762,9.80952380952381,71.0,0.5238095238095238,4.142857142857143,265,3599173,35.0,1,54.0,15.032587049665075,9.17109634551495,18.046410574746247,20.101066897347078,24.568234505862414,3.2,35.0,0.0,0.0,15.0,7.0,8.0
3599201,14.666666666666664,11.0,75.0,0.0,0.0,266,3599201,35.0,1,7.0,7.0,9.17109634551495,18.046410574746247,20.101066897347078,24.568234505862414,6.4,35.0,0.0,0.0,1.0,2.0,8.0
3599202,11.666666666666664,9.0,77.5,0.5,5.0,267,3599202,35.0,1,10.0,4.0,9.17109634551495,18.046410574746247,20.101066897347078,24.568234505862414,7.2,35.0,0.0,0.0,0.0,5.0,6.0
3636022,151.8684210526316,140.5,91.32894736842104,67.76315789473685,40.17105263157895,277,3636022,36.0,1,255.15384615384616,66.84615384615384,6.925121390237671,18.04641057474624,20.101066897347074,24.568234505862414,23.484615384615378,36.0,19515.0,12576.0,12635.0,13419.0,11770.0
3636028,180.78571428571428,172.9142857142857,95.6,97.84285714285713,50.171428571428564,279,3636028,36.0,1,252.9230769230769,65.07692307692308,13.923076923076925,18.04641057474624,20.101066897347074,24.568234505862414,24.62307692307693,36.0,17533.0,13775.0,14278.0,14133.0,12285.0
3636041,178.5,169.6125,94.275,83.7,41.525,290,3636041,36.0,1,289.15384615384613,64.53846153846153,13.474699718885764,18.04641057474624,20.101066897347074,24.568234505862414,24.538461538461537,36.0,18693.0,18027.0,17088.0,15588.0,12847.0
3636045,155.91358024691357,149.03703703703704,94.8148148148148,87.58024691358024,50.65432098765432,294,3636045,36.0,1,279.23076923076917,73.53846153846153,25.923076923076927,18.04641057474624,20.101066897347074,24.568234505862414,25.6,36.0,21212.0,17997.0,16499.0,14662.0,12039.0
3636047,109.12765957446808,104.41489361702128,94.22340425531915,47.56382978723404,36.0531914893617,295,3636047,36.0,1,244.23076923076923,89.23076923076924,11.076923076923077,18.04641057474624,20.101066897347074,24.568234505862414,22.753846153846155,36.0,17303.0,12161.0,11643.0,11303.0,10478.0
3636049,191.55696202531647,184.77215189873417,95.41772151898735,125.67088607594937,60.696202531645575,296,3636049,36.0,1,266.9230769230769,53.769230769230774,14.167007411193454,18.04641057474624,20.101066897347074,24.568234505862414,24.300000000000004,36.0,13669.0,14146.0,15835.0,16091.0,15214.0
3636079,127.1566265060241,116.0,89.21686746987952,54.6987951807229,36.987951807228924,319,3636079,36.0,1,237.7692307692308,52.769230769230774,21.474699718885766,18.04641057474624,20.101066897347074,24.568234505862414,23.915384615384607,36.0,16461.0,13248.0,12441.0,12053.0,10200.0
3636105,198.1125,188.675,94.375,105.2125,46.9125,328,3636105,36.0,1,308.53846153846155,49.384615384615394,15.7186302070023,18.04641057474624,20.101066897347074,24.568234505862414,25.361538461538462,36.0,24650.0,18138.0,17644.0,16685.0,14406.0
3636106,117.59523809523809,108.21428571428572,90.88095238095238,49.08333333333334,35.654761904761905,329,3636106,36.0,1,226.15384615384616,64.23076923076923,6.705468949654996,18.04641057474624,20.101066897347074,24.568234505862414,23.238461538461536,36.0,13539.0,11671.0,11508.0,11131.0,9827.0
3636114,165.54666666666662,159.41333333333333,95.70666666666666,80.01333333333334,43.62666666666666,334,3636114,36.0,1,239.38461538461542,39.384615384615394,5.85931510350115,18.04641057474624,20.101066897347074,24.568234505862414,24.02307692307692,36.0,14620.0,13171.0,13406.0,13165.0,11146.0
